command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus cc 3 '""../test-data-140MB.txt""'",0.23524958415666666,0.002243755359505637,0.23503877374000004,0.0012958166666666665,0.00047200333333333335,0.23189947374000003,0.23860712574000004,morloc,cc,3,14
"./nexus cc 3 '""../test-data-150MB.txt""'",0.2529031578309091,0.002398106542133031,0.25298790174,0.0012096272727272726,0.0006520036363636363,0.24959136174000005,0.25727618074,morloc,cc,3,15
"./nexus cc 3 '""../test-data-160MB.txt""'",0.26701226401272726,0.0024631257979541425,0.26786732374,0.0015765363636363633,0.0002992145454545454,0.26130571774,0.27031613774,morloc,cc,3,16
snakemake -c1 --config nnodes=3 inputfile=../test-data-00MB.txt  -- testlc,0.9346672884,0.0038676256373803577,0.9348695512,0.784334,0.11636326,0.9289534937,0.9408752447000001,snakemake,testlc,3,0
snakemake -c1 --config nnodes=3 inputfile=../test-data-10MB.txt  -- testlc,1.0112784968000001,0.004473858741039578,1.0109962102,0.8138435000000002,0.16208616,1.0039112827,1.0191275867,snakemake,testlc,3,1
snakemake -c1 --config nnodes=3 inputfile=../test-data-20MB.txt  -- testlc,1.0883284405,0.005445892856974313,1.0891204177,0.8092931,0.24377756,1.0783029317,1.0981064817,snakemake,testlc,3,2
snakemake -c1 --config nnodes=3 inputfile=../test-data-30MB.txt  -- testlc,1.1650598238,0.004351119177916773,1.1659746502,0.8234717999999999,0.30565176,1.1581129737,1.1720893027000001,snakemake,testlc,3,3
snakemake -c1 --config nnodes=3 inputfile=../test-data-40MB.txt  -- testlc,1.2469138553,0.0035314288939970566,1.2459765427,0.8367978,0.37404395999999995,1.2436209427,1.2556032797,snakemake,testlc,3,4
snakemake -c1 --config nnodes=3 inputfile=../test-data-50MB.txt  -- testlc,1.3249649803999999,0.005453581931438045,1.3231178902,0.8460405,0.44391596,1.3209421807000001,1.3401228317,snakemake,testlc,3,5
snakemake -c1 --config nnodes=3 inputfile=../test-data-60MB.txt  -- testlc,1.4020490650000001,0.004307088095792114,1.4016588077,0.8529751999999998,0.5139677599999999,1.3960205387,1.4100426607,snakemake,testlc,3,6
