command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus cr 2048 '""../test-data-00MB.txt""'",6.13929900998,0.5114258466335266,5.98777703248,0.0012058300000000002,0.00112137,5.88696804098,7.59140205698,morloc,cr,2048,0
"./nexus cr 4096 '""../test-data-00MB.txt""'",13.25481198478,0.03415408062533814,13.26570902948,0.00159843,0.00074665,13.19476521898,13.306658397980001,morloc,cr,4096,0
"./nexus cr 8192 '""../test-data-00MB.txt""'",29.33679924168,0.12327981552045839,29.33005098048,0.0019210000000000002,0.0003586199999999999,29.17827391698,29.57208679098,morloc,cr,8192,0
"./nexus cp 1 '""../test-data-00MB.txt""'",0.05247131675000001,0.00199756744293588,0.052451144000000005,0.0014095392857142856,0.0004371667857142856,0.05061982550000001,0.0648008695,morloc,cp,1,0
"./nexus cp 2 '""../test-data-00MB.txt""'",0.052466089344827584,0.0008018104619919301,0.052637102000000005,0.0013216534482758623,0.00045996137931034474,0.051091145500000004,0.054453744500000005,morloc,cp,2,0
"./nexus cp 4 '""../test-data-00MB.txt""'",0.05362620505357144,0.00208423402714764,0.053319794000000004,0.0014736696428571429,0.0004379214285714286,0.051810060500000005,0.0663944815,morloc,cp,4,0
"./nexus cp 8 '""../test-data-00MB.txt""'",0.05528088708181818,0.0019478250394145,0.05501249750000001,0.0014193472727272725,0.0005764818181818182,0.052967266500000006,0.0636007555,morloc,cp,8,0
"./nexus cp 16 '""../test-data-00MB.txt""'",0.05603161790740743,0.001386007959347283,0.056255032,0.0012754833333333338,0.0005182314814814814,0.0530866045,0.0627416855,morloc,cp,16,0
"./nexus cp 32 '""../test-data-00MB.txt""'",0.05814856747727273,0.0031919387254713398,0.05779988350000001,0.0009634159090909088,0.0007222027272727273,0.0545938305,0.0741246275,morloc,cp,32,0
"./nexus cp 64 '""../test-data-00MB.txt""'",0.0606949387857143,0.00674599821228809,0.059442017500000006,0.0011053040816326532,0.00048491877551020416,0.056467578500000004,0.0981473095,morloc,cp,64,0
"./nexus cp 128 '""../test-data-00MB.txt""'",0.06832414821111112,0.01270149856518893,0.0643525965,0.001168662222222222,0.0004886004444444443,0.061551048500000004,0.1187367005,morloc,cp,128,0
"./nexus cp 256 '""../test-data-00MB.txt""'",0.07428048039999997,0.008273049976287677,0.0725355635,0.0011580333333333333,0.0002722073333333333,0.0690142545,0.1100020405,morloc,cp,256,0
"./nexus cp 512 '""../test-data-00MB.txt""'",0.09438718025000001,0.01438428598939899,0.08897152150000001,0.00114804375,0.000287895,0.0839703075,0.1452918805,morloc,cp,512,0
"./nexus cp 1024 '""../test-data-00MB.txt""'",0.1089773971190476,0.009708695523826935,0.1098557605,0.0009024619047619047,0.00027460190476190474,0.0950342555,0.1422710955,morloc,cp,1024,0
"./nexus cp 2048 '""../test-data-00MB.txt""'",0.1844874481875,0.005319539863410337,0.18430111000000002,0.0010681375,0.00037209249999999993,0.1768169565,0.1962968185,morloc,cp,2048,0
"./nexus cp 4096 '""../test-data-00MB.txt""'",0.3084101615,0.008020805533563794,0.3100641525,0.0011929,0.000287274,0.2982231725,0.31874743050000004,morloc,cp,4096,0
"./nexus cp 8192 '""../test-data-00MB.txt""'",0.5553429297,0.011578522163273017,0.5543342235000001,0.0013417,0.00011855799999999999,0.5387866145,0.5789843535,morloc,cp,8192,0
"./nexus cp 16384 '""../test-data-00MB.txt""'",1.0465409774999999,0.017273583119836674,1.0454248295,0.0011281,0.00035463199999999996,1.0190948345,1.0669481675,morloc,cp,16384,0
"./nexus cp 32768 '""../test-data-00MB.txt""'",2.0342059467,0.030950549828464444,2.0379153800000003,0.0011253300000000001,0.000361874,1.9968334725,2.0838148845,morloc,cp,32768,0
"./nexus cp 65536 '""../test-data-00MB.txt""'",3.9955999726,0.03983396545488095,3.9970973955000004,0.0013012999999999998,0.00016477400000000002,3.9434447085000004,4.0540800355,morloc,cp,65536,0
"./nexus cp 131072 '""../test-data-00MB.txt""'",7.941739751700001,0.055571414804657576,7.9445378575,0.0009277999999999998,0.0006578479999999999,7.8525422465000005,8.0274502575,morloc,cp,131072,0
"./nexus cp 262144 '""../test-data-00MB.txt""'",15.8721203476,0.1279347797890872,15.8791258035,0.0015664999999999998,0.00026001599999999996,15.6703891885,16.0475828225,morloc,cp,262144,0
"./nexus rp 1 '""../test-data-00MB.txt""'",0.23353686958333333,0.0006298395334440306,0.2336151405,0.001759033333333333,0.0002852283333333333,0.2324264195,0.23470704850000002,morloc,rp,1,0
"./nexus rp 2 '""../test-data-00MB.txt""'",0.2398920295,0.018658351177082762,0.2342371505,0.0015188666666666663,0.0007614216666666667,0.2339721635,0.2991001535,morloc,rp,2,0
"./nexus rp 4 '""../test-data-00MB.txt""'",0.24598733125000002,0.023546672991321096,0.23564851250000002,0.0017613666666666666,0.0006194566666666666,0.2342468365,0.29701687250000003,morloc,rp,4,0
"./nexus rp 8 '""../test-data-00MB.txt""'",0.2814595408999999,0.03076571510190879,0.29943936950000005,0.0015356599999999999,0.0019281639999999996,0.23632769350000002,0.3048467775,morloc,rp,8,0
"./nexus rp 16 '""../test-data-00MB.txt""'",0.26125613479999993,0.033979248106365705,0.241536582,0.0027238999999999996,0.00030025799999999997,0.2383335275,0.3141966845,morloc,rp,16,0
"./nexus rp 32 '""../test-data-00MB.txt""'",0.25311187858333334,0.026340030696911126,0.2420895615,0.001499283333333333,0.0007208383333333333,0.24034504150000002,0.3100803385,morloc,rp,32,0
"./nexus rp 64 '""../test-data-00MB.txt""'",0.25668696925,0.025963399646776984,0.246069188,0.001471475,0.0006012766666666666,0.2441751845,0.3230097985,morloc,rp,64,0
"./nexus rp 128 '""../test-data-00MB.txt""'",0.2631338557727273,0.02623307161033943,0.2519937235,0.0013702454545454544,0.00042770363636363635,0.2483312805,0.31709445150000004,morloc,rp,128,0
"./nexus rp 256 '""../test-data-00MB.txt""'",0.2844231289,0.038642216862365804,0.2617901265,0.00120573,0.000528932,0.2566436365,0.3462796435,morloc,rp,256,0
"./nexus rp 512 '""../test-data-00MB.txt""'",0.29066472590000003,0.023931111776429488,0.2836262815,0.00076789,0.000989606,0.2792097095,0.3582962295,morloc,rp,512,0
"./nexus rp 1024 '""../test-data-00MB.txt""'",0.335211711,0.027509350082923517,0.3273930425,0.0012385999999999999,0.000395174,0.3213647505,0.41266017050000003,morloc,rp,1024,0
"./nexus rp 2048 '""../test-data-00MB.txt""'",0.4450744955,0.03917000061001308,0.4252360585,0.0011082,0.000569332,0.3993946165,0.5031384665,morloc,rp,2048,0
